AMD,SHAN,NVDA,AMZN,GOOGL,IBM
79.28287998516369,3427.989631189217,149.81229657773952,164.7109984371318,117.62419890810287,138.4544092899544
75.98935529135149,3427.989631189217,143.78594948676206,159.52451586738118,114.58769734981163,139.74620057711277
76.82937975420819,3441.1833528244556,144.0830210376159,161.18861360652292,113.50351664707365,137.87515124096927
74.6639167758793,3463.1330516807457,138.88292657254408,157.75725803731382,110.32409330664399,136.27159198191035
73.1018867641736,3429.565467319435,137.6924068702121,158.07557338788826,111.45259277836348,137.82752689039114
74.5918569859808,3490.3000788298273,143.46025765697476,161.15636644095238,113.92019864171156,138.32468047668317
74.65906560590855,3517.790995719653,142.68521551286133,163.529497405419,114.4457836149851,138.73261316261858
74.44129173138715,3529.0675595319835,141.25416963943746,161.62223041743,113.1233919017291,137.57968318369566
76.37553195980142,3514.0609836462672,142.30160785876149,161.62245856890647,113.69153524529699,135.79967785040765
78.04730866409706,3506.7589415093157,147.12452251469853,162.38065012207232,115.34591366499956,137.55140919256232
77.17019900332139,3486.564700473995,151.09408724401337,160.14462957063586,114.7024080041297,138.36554565940995
77.43183925553326,3496.9915270282854,157.0972601345153,162.24019400849883,118.05088429325988,138.36002024144656
77.8739497894768,3581.2061386827418,157.40001348821502,162.94645255949857,118.14631718937514,137.4678909663716
78.51161814325779,3593.633026021181,158.99431343750427,163.37514925974315,119.18746124555979,136.7022303896717
78.43256860969328,3608.962666962358,155.9713897350579,161.50568886914715,118.13071110409764,137.49695950745195
80.09621873070436,3599.824193046574,163.48476695541532,161.1539344806078,117.8420474576851,137.41844720962447
80.86306870416156,3616.73190135559,163.54666847203404,161.1438719846752,119.17867437643342,138.78402936016997
81.97079040151935,3624.886782360155,168.73527606205693,161.69557855400757,118.52754167628635,139.3033174455867
80.25936416875408,3597.3371628959494,170.54844065422748,159.35046666580976,117.37769292373812,139.13751756370846
81.57243243891384,3587.045286864273,176.83151468294648,161.15295269074204,119.69014119801786,140.0058500882375
81.35580341384924,3591.808441430864,177.05346962723416,159.8783356020889,120.11559233436314,141.50347296533062
80.88417965912227,3599.555477125228,175.4364174570104,163.16904549492153,119.91930255732494,142.5142563383396
79.96749078880288,3580.6658159115145,174.48720228613115,164.0466677974278,120.39897078090156,144.04740583790525
81.5479020073289,3591.7268964519008,175.4364174570104,167.50433932423908,121.82460402503442,143.23531799941858
81.31790956859321,3610.9268116775143,179.232770397381,167.33270303121034,121.51365356120333,144.6221890728154
81.54476801904639,3589.9056917199177,180.97990557541007,169.19235398180024,122.44407248210892,143.43586412113223
80.4731500920321,3556.4025100979998,178.7727220343441,169.15775925261374,121.41527985159684,142.78959101449894
80.11232136228034,3518.443102457552,178.90362823290155,170.76389236138186,120.76979195945096,141.32502101197275
84.54739520455628,3525.6112703120593,187.41026441546757,174.46543037267298,121.73952887239358,139.19654136850465
84.6364481854892,3524.9662728475396,187.2469577808168,174.35004962282798,120.11022614982045,136.82704347347058
82.5655217616637,3529.134711829313,185.19513860550995,172.6992264635654,121.80860030183156,140.1989984574645
83.5834269085021,3556.5660507418775,189.61618027346643,175.25991636171483,122.32981886726213,139.92063783604772
83.81578824269207,3566.834600264543,191.37770886372257,175.19143958580167,122.13069761797689,138.2536469586647
86.08869777579592,3566.8193468363734,192.8150996804631,172.44522729713253,122.50177727918633,139.04159512377444
