Date,Open,High,Low,Close,Adj Close,Volume
2021-05-07,3446.409912,3457.889893,3416.780029,3418.870117,3418.870117,353800
2021-05-10,3423.590088,3429.739990,3401.929932,3427.989990,3427.989990,374200
2021-05-11,3406.600098,3448.100098,3384.699951,3441.850098,3441.850098,350900
2021-05-12,3429.750000,3466.370117,3428.389893,3462.750000,3462.750000,311400
2021-05-13,3432.139893,3448.020020,3418.379883,3429.540039,3429.540039,319300
2021-05-14,3436.090088,3490.639893,3422.560059,3490.379883,3490.379883,337000
2021-05-17,3490.409912,3530.510010,3490.139893,3517.620117,3517.620117,322100
2021-05-18,3520.649902,3529.010010,3510.860107,3529.010010,3529.010010,271300
2021-05-19,3521.110107,3521.110107,3503.820068,3510.959961,3510.959961,278300
2021-05-20,3500.879883,3517.739990,3486.070068,3506.939941,3506.939941,326000
2021-05-21,3510.840088,3518.379883,3479.669922,3486.560059,3486.560059,283800
2021-05-24,3486.270020,3498.300049,3469.870117,3497.280029,3497.280029,289500
2021-05-25,3502.540039,3584.580078,3502.439941,3581.340088,3581.340088,341200
2021-05-26,3586.840088,3603.489990,3585.370117,3593.360107,3593.360107,342000
2021-05-27,3585.729980,3626.360107,3579.260010,3608.850098,3608.850098,309600
2021-05-28,3610.770020,3622.179932,3582.360107,3600.780029,3600.780029,349200
2021-05-31,3600.070068,3615.659912,3580.649902,3615.479980,3615.479980,331500
2021-06-01,3608.600098,3626.070068,3581.909912,3624.709961,3624.709961,352800
2021-06-02,3626.330078,3629.290039,3584.600098,3597.139893,3597.139893,348600
2021-06-03,3595.419922,3618.510010,3584.209961,3584.209961,3584.209961,354200
2021-06-04,3565.469971,3618.800049,3561.889893,3591.840088,3591.840088,330900
2021-06-07,3597.139893,3600.379883,3581.899902,3599.540039,3599.540039,303700
2021-06-08,3598.750000,3621.520020,3563.250000,3580.110107,3580.110107,304500
2021-06-09,3576.800049,3598.709961,3572.639893,3591.399902,3591.399902,298300
2021-06-10,3587.530029,3624.340088,3584.129883,3610.860107,3610.860107,318200
2021-06-11,3614.110107,3614.399902,3587.149902,3589.750000,3589.750000,360600
2021-06-15,3587.469971,3592.949951,3547.189941,3556.560059,3556.560059,349200
2021-06-16,3556.709961,3561.090088,3513.560059,3518.330078,3518.330078,312600
2021-06-17,3508.320068,3534.199951,3507.350098,3525.600098,3525.600098,277200
2021-06-18,3520.500000,3535.620117,3503.179932,3525.100098,3525.100098,296700
2021-06-21,3515.500000,3540.300049,3504.010010,3529.179932,3529.179932,280900
2021-06-22,3539.790039,3560.189941,3536.810059,3557.409912,3557.409912,307500
2021-06-23,3559.399902,3577.469971,3549.850098,3566.219971,3566.219971,310700
2021-06-24,3568.580078,3570.489990,3548.820068,3566.649902,3566.649902,335400
2021-06-25,3567.379883,3614.300049,3564.520020,3607.560059,3607.560059,346100
2021-06-28,3612.250000,3614.360107,3594.219971,3606.370117,3606.370117,321300
2021-06-29,3601.679932,3601.830078,3570.530029,3573.179932,3573.179932,306100
2021-06-30,3572.620117,3594.120117,3569.500000,3591.199951,3591.199951,268200
2021-07-01,3600.550049,3607.699951,3573.939941,3588.780029,3588.780029,291900
2021-07-02,3569.889893,3569.889893,3514.340088,3518.760010,3518.760010,291900
2021-07-05,3516.919922,3534.320068,3510.580078,3534.320068,3534.320068,288100
2021-07-06,3533.129883,3538.350098,3496.929932,3530.260010,3530.260010,314100
2021-07-07,3508.590088,3557.879883,3504.469971,3553.719971,3553.719971,318800
2021-07-08,3557.219971,3558.679932,3521.060059,3525.500000,3525.500000,350900
2021-07-09,3512.229980,3529.310059,3485.050049,3524.090088,3524.090088,349900
2021-07-12,3545.199951,3565.030029,3527.389893,3547.840088,3547.840088,403600
2021-07-13,3547.590088,3567.479980,3542.820068,3566.520020,3566.520020,362400
2021-07-14,3560.830078,3560.830078,3525.489990,3528.500000,3528.500000,372200
2021-07-15,3519.060059,3565.929932,3514.260010,3564.590088,3564.590088,363300
